a	b	c
0.999122306548	-1.99247646069	4.48373530441
1.00036792207	-2.00113167793	4.48786265252
0.999805308321	-1.99791016988	4.50250055111
0.99902805229	-1.99242838958	4.49466837916
1.00066107667	-2.006828538	4.51303972222
0.999199523752	-1.99044982776	4.47373943235
1.00067850309	-2.00695210605	4.50521942176
0.999380830645	-1.99261705579	4.48796758614
1.00046887183	-2.00619892169	4.50732094261
0.999436610212	-1.9945287582	4.49660926271
0.999457884503	-1.99320523315	4.48351815562
1.0000222934	-1.99993596523	4.4970091201
1.00020892715	-2.00301900845	4.50618398784
0.999197118599	-1.99001635251	4.47736413544
1.0006354713	-2.00683798778	4.51738040733
1.00025910867	-2.0062012925	4.51802008225
0.998512089556	-1.98786604424	4.48808516351
0.998843751038	-1.98590299138	4.45946073505
1.00129221523	-2.0117141486	4.50610702099
1.00079761443	-2.00824118602	4.51366700936
0.998958668437	-1.98771565716	4.47537790625
1.00028153731	-2.00331338019	4.50496245007
1.00054970917	-2.00055218276	4.48529768366
0.999456129032	-1.99661022376	4.49769881282
1.00096630914	-2.00667202599	4.5118941419
0.999523025988	-1.99425606871	4.49099396482
0.999737216794	-2.00079613543	4.51140197857
1.00031253464	-2.00422247607	4.51062097503
1.00179060889	-2.01659639978	4.5250065702
0.998698520577	-1.98608426186	4.48282396082
1.00151627331	-2.0169246322	4.53449202901
1.000907541	-2.00790082325	4.51182489952
0.999894210515	-1.99939830891	4.4998220444
1.00013854497	-2.00230776007	4.50599063386
0.9999303762	-1.99949287389	4.48957007978
0.999865461457	-2.00254667149	4.51371100187
0.999896200951	-1.99541325163	4.48440768928
1.00014021663	-2.00109446277	4.49621235593
1.00058608647	-2.00582898584	4.50893644276
1.00196068703	-2.0199857921	4.53862871012
1.000003721	-1.99895341928	4.49453623732
0.999071987343	-1.98986932643	4.4901813416
1.00100676568	-2.00950432943	4.51834855116
1.0002635937	-2.00419569956	4.50741877819
0.998070036262	-1.97702397573	4.44997948352
0.999800040151	-1.99667030472	4.48607262142
0.99926791732	-1.99144041948	4.47515474191
0.999299937751	-1.99133844961	4.48562151761
1.00024027534	-2.00388293443	4.50997642909
0.999448885546	-1.99417376442	4.50174175094
0.999008951456	-1.99016400443	4.48381526937
0.999887708969	-1.99980827942	4.5047983981
0.999581819669	-1.99328565126	4.48192479872
0.999847810483	-2.00069789181	4.50700459427
1.00013591623	-2.00396515732	4.51643572227
0.998994232263	-1.98847692504	4.47249547328
0.998788656201	-1.98864850037	4.48574295032
0.999551202463	-1.99413926537	4.48888986252
0.999157068669	-1.98984953886	4.47813649017
0.999487210403	-1.99745462672	4.51336448202
0.999824130355	-2.000093425	4.49317450106
0.999491131584	-1.99588331829	4.4947118039
0.999822153354	-1.99643709448	4.48242295967
0.999249229057	-1.98773783037	4.46416040362
0.998743639669	-1.98376596412	4.45437378808
1.00046126011	-2.00341471014	4.50126876937
0.99884377189	-1.99002222244	4.4855907558
1.00022445878	-2.00344517159	4.51427776449
